model,factors,seed,samples,features,fit_observed_cells,holdout_cells,observed_cells,holdout_fraction_realized,q_train,q_train_per_cell,q_heldout,q_heldout_per_cell,q_all_observed,q_all_observed_per_cell,objective,iterations,converged,fit_seconds,profile_variability_mean,profile_variability_max,active_variability_factor_count,effective_rank_mean,effective_rank_active_factor_count,high_geometric_confounding_factor_count,moderate_geometric_confounding_factor_count,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,6,11,8671,32,205786,22901,228687,0.1001412410849764,195332.92476766152,0.94920414784126,289174.7091579711,12.627165152524828,484507.6339256326,2.1186496561922303,195332.92476766152,15,False,29.541720582987182,0.0,0.0,0,0.0,0,3,0,0.7143334480366469,0.9865080245202502,0.417632270109475,5.0,20.463233041194737,0.04886813329970343
lowrank_v2,6,17,8671,32,205786,22901,228687,0.1001412410849764,207439.7238792794,1.0080361340386585,432495.31453309645,18.885433585131498,639935.0384123758,2.798300902160489,207439.7238792794,15,False,29.552521790959872,0.0,0.0,0,0.0,0,2,0,0.7256021734282753,0.992362281808401,0.59154210664156,5.0,16.54577058998819,0.0604384059697466
lowrank_v2,6,23,8671,32,205786,22901,228687,0.1001412410849764,204212.12782420687,0.9923518986918783,122161.70588861532,5.334339368962723,326373.8337128222,1.4271639127402178,204212.12782420687,15,False,29.401300707948394,0.0,0.0,0,0.0,0,3,1,0.6605825252168551,0.9914638980558049,0.3143228030732352,5.0,11.284632099872676,0.0886160923235843
lowrank_v2,6,31,8671,32,205786,22901,228687,0.1001412410849764,220073.1584501972,1.06942726157366,147868.99912297266,6.456879573947542,367942.1575731699,1.6089334224209069,220073.1584501972,15,False,29.570243458962068,0.0,0.0,0,0.0,0,3,0,0.6784184754674135,0.9967006858138951,0.34646179585089715,5.0,35.94855113264946,0.027817532793185995
lowrank_v2,6,41,8671,32,205786,22901,228687,0.1001412410849764,200001.77894354073,0.9718920574943909,483960.1139727242,21.132706605507366,683961.892916265,2.990821047616458,200001.77894354073,15,False,29.557232583058067,0.0,0.0,0,0.0,0,2,1,0.5210638797393379,0.9943872242948159,0.07823518010688758,5.0,69.25484120132863,0.014439423766678354
lowrank_v2,6,53,8671,32,205786,22901,228687,0.1001412410849764,190466.56777742453,0.9255564896417857,235365.69100702496,10.277528972840704,425832.25878444954,1.8620746207018744,190466.56777742453,15,False,29.522753792000003,0.0,0.0,0,0.0,0,3,1,0.6567543513700185,0.9975563381195676,0.26411776502692513,5.0,35.88598148941262,0.027866034548756267
lowrank_v2,6,67,8671,32,205786,22901,228687,0.1001412410849764,207806.405086993,1.009817990956591,257784.95478575293,11.256493375213001,465591.35987274593,2.035932780930905,207806.405086993,15,False,29.418071583029814,0.0,0.0,0,0.0,0,2,2,0.6787360245346811,0.9946180941629006,0.33888728956086916,5.0,16.67918330996267,0.059954973898673346
lowrank_v2,6,79,8671,32,205786,22901,228687,0.1001412410849764,201008.99976779107,0.9767865635553005,286254.74241203873,12.499661255492718,487263.74217982974,2.1307015360725785,201008.99976779107,15,False,29.552456915960647,0.0,0.0,0,0.0,0,3,0,0.6507268974402691,0.9935496339410673,0.40925054890477697,5.0,24.09364894516184,0.04150471363951729
lowrank_v2,6,97,8671,32,205786,22901,228687,0.1001412410849764,210601.88610289028,1.0234023991082497,126567.76182458537,5.526735156743608,337169.6479274756,1.4743717304764836,210601.88610289028,15,False,29.660554124973714,0.0,0.0,0,0.0,0,3,0,0.5904197711772003,0.9919161872190903,0.20174372400151466,5.0,35.294806416917204,0.028332780414987303
lowrank_v2,6,113,8671,32,205786,22901,228687,0.1001412410849764,187154.03348747123,0.9094595039870119,510945.2714573274,22.311046306158133,698099.3049447987,3.0526409675442796,187154.03348747123,15,False,29.50267920794431,0.0,0.0,0,0.0,0,2,1,0.6766957364378616,0.9963311078337758,0.4241165893335509,5.0,40.24733516614796,0.024846365501512757
lowrank_v2,7,11,8671,32,205786,22901,228687,0.1001412410849764,172136.32776748989,0.8364822085442639,292521.51901304815,12.773307672723817,464657.8467805381,2.0318507251419544,172136.32776748989,15,False,31.00000550004188,0.0,0.0,0,0.0,0,3,1,0.7153214424383252,0.9771484268398535,0.3886933623914574,6.0,23.438968660392394,0.042663993219540355
