model,factors,seed,factor,factor_label,effective_rank,profile_rms_variability,latent_tau,span_alignment,unique_direction_fraction,max_cosine_to_other_archetype,diagnostic_label,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,8,67,6,factor_7,0,0.0,0.0,,,0.9881725251674597,high_geometric_confounding,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
lowrank_v2,8,67,7,factor_8,0,0.0,0.0,,,0.9912951834892673,high_geometric_confounding,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
lowrank_v2,8,79,0,factor_1,0,0.0,0.0,,,0.9738681834210156,high_geometric_confounding,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,79,1,factor_2,0,0.0,0.0,,,0.9930909194399176,high_geometric_confounding,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,79,2,factor_3,0,0.0,0.0,,,0.6626369362235068,static_or_no_active_family,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,79,3,factor_4,0,0.0,0.0,,,0.9930909194399176,high_geometric_confounding,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,79,4,factor_5,0,0.0,0.0,,,0.9567633366702616,moderate_geometric_confounding,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,79,5,factor_6,0,0.0,0.0,,,0.9400153446629004,moderate_geometric_confounding,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,79,6,factor_7,0,0.0,0.0,,,0.9400153446629004,moderate_geometric_confounding,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,79,7,factor_8,0,0.0,0.0,,,0.9329503800183007,moderate_geometric_confounding,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,97,0,factor_1,0,0.0,0.0,,,0.9914639562065631,high_geometric_confounding,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,97,1,factor_2,0,0.0,0.0,,,0.9641670270866969,moderate_geometric_confounding,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,97,2,factor_3,0,0.0,0.0,,,0.5234225786539345,static_or_no_active_family,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,97,3,factor_4,0,0.0,0.0,,,0.9914639562065631,high_geometric_confounding,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,97,4,factor_5,0,0.0,0.0,,,0.8965371205347049,static_or_no_active_family,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,97,5,factor_6,0,0.0,0.0,,,0.9718921916141459,high_geometric_confounding,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,97,6,factor_7,0,0.0,0.0,,,0.6288034041377832,static_or_no_active_family,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,97,7,factor_8,0,0.0,0.0,,,0.5923509967646446,static_or_no_active_family,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,113,0,factor_1,0,0.0,0.0,,,0.7797118539176844,static_or_no_active_family,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
lowrank_v2,8,113,1,factor_2,0,0.0,0.0,,,0.7054783964858007,static_or_no_active_family,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
lowrank_v2,8,113,2,factor_3,0,0.0,0.0,,,0.9687688807575826,moderate_geometric_confounding,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
lowrank_v2,8,113,3,factor_4,0,0.0,0.0,,,0.9135146407223659,moderate_geometric_confounding,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
lowrank_v2,8,113,4,factor_5,0,0.0,0.0,,,0.992250374696879,high_geometric_confounding,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
lowrank_v2,8,113,5,factor_6,0,0.0,0.0,,,0.9635011836478586,moderate_geometric_confounding,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
lowrank_v2,8,113,6,factor_7,0,0.0,0.0,,,0.992250374696879,high_geometric_confounding,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
lowrank_v2,8,113,7,factor_8,0,0.0,0.0,,,0.7797118539176844,static_or_no_active_family,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
static,4,11,0,factor_1,0,0.0,,,,,static_model_no_active_family,0.8273664946416758,0.9371373328126701,0.7438621719173062,3.0,3.5179019853610534,0.28426033589374344
static,4,11,1,factor_2,0,0.0,,,,,static_model_no_active_family,0.8273664946416758,0.9371373328126701,0.7438621719173062,3.0,3.5179019853610534,0.28426033589374344
static,4,11,2,factor_3,0,0.0,,,,,static_model_no_active_family,0.8273664946416758,0.9371373328126701,0.7438621719173062,3.0,3.5179019853610534,0.28426033589374344
static,4,11,3,factor_4,0,0.0,,,,,static_model_no_active_family,0.8273664946416758,0.9371373328126701,0.7438621719173062,3.0,3.5179019853610534,0.28426033589374344
static,4,17,0,factor_1,0,0.0,,,,,static_model_no_active_family,0.8175907118430069,0.9069954369811573,0.6990226438493381,3.0,2.7936946655266666,0.3579489241754629
static,4,17,1,factor_2,0,0.0,,,,,static_model_no_active_family,0.8175907118430069,0.9069954369811573,0.6990226438493381,3.0,2.7936946655266666,0.3579489241754629
static,4,17,2,factor_3,0,0.0,,,,,static_model_no_active_family,0.8175907118430069,0.9069954369811573,0.6990226438493381,3.0,2.7936946655266666,0.3579489241754629
static,4,17,3,factor_4,0,0.0,,,,,static_model_no_active_family,0.8175907118430069,0.9069954369811573,0.6990226438493381,3.0,2.7936946655266666,0.3579489241754629
static,4,23,0,factor_1,0,0.0,,,,,static_model_no_active_family,0.6418964746802254,0.9914436062254421,0.510172090988397,3.0,7.908766873921501,0.12644196193181728
static,4,23,1,factor_2,0,0.0,,,,,static_model_no_active_family,0.6418964746802254,0.9914436062254421,0.510172090988397,3.0,7.908766873921501,0.12644196193181728
